sequenceID	name	organism	locus_name	sequence_length	locus_numeric_id	locus_structure
KX022587	DELV	Cynocephalus volans	ELVgv	3210	126	NULL
KX022583	DELV	Cynocephalus volans	ELVgv	2879	127	NULL
KX022584	DELV	Cynocephalus volans	ELVgv	2879	128	NULL
KX022582	DELV	Galeopterus variegatus	ELVgv	2873	4	NULL
KX022586	DELV	Galeopterus variegatus	ELVgv	2784	3	NULL
KX022581	DELV	Galeopterus variegatus	ELVgv	1128	4	NULL
KX022588	DELV	Cynocephalus volans	ELVgv	1118	125	LTR
KX022585	DELV	Galeopterus variegatus	ELVgv	1067	3	LTR
KX022589	DELV	Galeopterus variegatus	ELVgv	605	2	LTR
JQ700143	MELV	Mustela eversmannii	MELV	902	NK	Gag
JQ700164	MELV	Mustela nigripes	MELV	902	NK	Gag
JQ700167	MELV	Mustela nigripes	MELV	902	NK	Gag
JQ700170	MELV	Mustela nigripes	MELV	902	NK	Gag
JQ700152	MELV	Mustela eversmannii	MELV	901	NK	Gag
JQ700193	MELV	Neovison vison	MELV	883	NK	Gag
JQ700134	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700135	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700136	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700139	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700140	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700141	MELV	Mustela erminea	MELV	880	NK	Gag
JQ700142	MELV	Mustela eversmannii	MELV	880	NK	Gag
JQ700145	MELV	Mustela eversmannii	MELV	880	NK	Gag
JQ700146	MELV	Mustela eversmannii	MELV	880	NK	Gag
JQ700148	MELV	Mustela eversmannii	MELV	880	NK	Gag
JQ700151	MELV	Mustela eversmannii	MELV	880	NK	Gag
JQ700162	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700163	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700165	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700166	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700168	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700169	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700171	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700172	MELV	Mustela nigripes	MELV	880	NK	Gag
JQ700174	MELV	Mustela nivalis	MELV	880	NK	Gag
JQ700182	MELV	Mustela putorius	MELV	880	NK	Gag
JQ700184	MELV	Mustela putorius	MELV	880	NK	Gag
JQ700185	MELV	Mustela putorius	MELV	880	NK	Gag
JQ700186	MELV	Mustela putorius	MELV	880	NK	Gag
JQ700190	MELV	Mustela putorius	MELV	880	NK	Gag
JQ700191	MELV	Neovison vison	MELV	880	NK	Gag
JQ700192	MELV	Neovison vison	MELV	880	NK	Gag
JQ700194	MELV	Neovison vison	MELV	880	NK	Gag
JQ700195	MELV	Neovison vison	MELV	880	NK	Gag
JQ700196	MELV	Neovison vison	MELV	880	NK	Gag
JQ700197	MELV	Neovison vison	MELV	880	NK	Gag
JQ700199	MELV	Neovison vison	MELV	880	NK	Gag
JQ700200	MELV	Neovison vison	MELV	880	NK	Gag
JQ700137	MELV	Mustela erminea	MELV	879	NK	Gag
JQ700138	MELV	Mustela erminea	MELV	879	NK	Gag
JQ700144	MELV	Mustela eversmannii	MELV	879	NK	Gag
JQ700187	MELV	Mustela putorius	MELV	879	NK	Gag
JQ700178	MELV	Mustela nivalis	MELV	878	NK	Gag
JQ700198	MELV	Neovison vison	MELV	878	NK	Gag
JQ700160	MELV	Mustela frenata	MELV	877	NK	Gag
JQ700149	MELV	Mustela eversmannii	MELV	875	NK	Gag
JQ700181	MELV	Mustela putorius	MELV	874	NK	Gag
JQ700183	MELV	Mustela putorius	MELV	874	NK	Gag
JQ700188	MELV	Mustela putorius	MELV	874	NK	Gag
JQ700189	MELV	Mustela putorius	MELV	874	NK	Gag
JQ700157	MELV	Mustela frenata	MELV	873	NK	Gag
JQ700158	MELV	Mustela frenata	MELV	873	NK	Gag
JQ700173	MELV	Mustela nivalis	MELV	873	NK	Gag
JQ700175	MELV	Mustela nivalis	MELV	873	NK	Gag
